Season,Team,fast_break_ratio,league
2016-17,Portland Trail Blazers,14.0%,NBA
2020-21,Boston Celtics,14.0%,NBA
2016-17,New York Knicks,13.9%,NBA
2016-17,Sacramento Kings,13.9%,NBA
2017-18,Detroit Pistons,13.9%,NBA
2017-18,Philadelphia 76ers,13.9%,NBA
2018-19,Brooklyn Nets,13.9%,NBA
2018-19,Minnesota Timberwolves,13.9%,NBA
2020-21,Chicago Bulls,13.9%,NBA
2019-20,宇都宮ブレックス,13.7%,B.LEAGUE
2017-18,Houston Rockets,13.6%,NBA
2019-20,Detroit Pistons,13.6%,NBA
2020-21,Houston Rockets,13.6%,NBA
2020-21,Utah Jazz,13.6%,NBA
2018-19,名古屋ダイヤモンドドルフィンズ,13.5%,B.LEAGUE
2016-17,Indiana Pacers,13.5%,NBA
2016-17,Memphis Grizzlies,13.5%,NBA
2018-19,Cleveland Cavaliers,13.5%,NBA
2018-19,Orlando Magic,13.5%,NBA
2019-20,Miami Heat,13.5%,NBA
2020-21,Dallas Mavericks,13.5%,NBA
2018-19,秋田ノーザンハピネッツ,13.4%,B.LEAGUE
2017-18,Atlanta Hawks,13.3%,NBA
2017-18,Brooklyn Nets,13.3%,NBA
2017-18,San Antonio Spurs,13.3%,NBA
2019-20,Dallas Mavericks,13.3%,NBA
2020-21,Detroit Pistons,13.3%,NBA
2020-21,Portland Trail Blazers,13.3%,NBA
2017-18,滋賀レイクスターズ,13.3%,B.LEAGUE
2020-21,三遠ネオフェニックス,13.2%,B.LEAGUE
2019-20,Cleveland Cavaliers,13.2%,NBA
2019-20,Minnesota Timberwolves,13.2%,NBA
2020-21,Orlando Magic,13.2%,NBA
2017-18,Utah Jazz,13.1%,NBA
2017-18,栃木ブレックス,13.0%,B.LEAGUE
2017-18,レバンガ北海道,13.0%,B.LEAGUE
2019-20,川崎ブレイブサンダース,12.9%,B.LEAGUE
2017-18,Dallas Mavericks,12.9%,NBA
2018-19,Portland Trail Blazers,12.8%,NBA
2020-21,Washington Wizards,12.8%,NBA
2019-20,横浜ビー・コルセアーズ,12.7%,B.LEAGUE
2018-19,Utah Jazz,12.7%,NBA
2018-19,Detroit Pistons,12.5%,NBA
2018-19,Miami Heat,12.5%,NBA
2019-20,Utah Jazz,12.5%,NBA
2018-19,San Antonio Spurs,12.4%,NBA
2019-20,アルバルク東京,12.4%,B.LEAGUE
2020-21,名古屋ダイヤモンドドルフィンズ,12.4%,B.LEAGUE
2019-20,三遠ネオフェニックス,12.4%,B.LEAGUE
2018-19,横浜ビー・コルセアーズ,12.4%,B.LEAGUE
2019-20,富山グラウジーズ,12.3%,B.LEAGUE
2018-19,三遠ネオフェニックス,12.3%,B.LEAGUE
2019-20,島根スサノオマジック,12.3%,B.LEAGUE
2018-19,サンロッカーズ渋谷,12.2%,B.LEAGUE
2017-18,Boston Celtics,12.1%,NBA
2020-21,LA Clippers,12.1%,NBA
2018-19,栃木ブレックス,12.1%,B.LEAGUE
2020-21,新潟アルビレックスBB,12.1%,B.LEAGUE
2016-17,Charlotte Hornets,12.0%,NBA
2017-18,Miami Heat,12.0%,NBA
2020-21,広島ドラゴンフライズ,11.9%,B.LEAGUE
2019-20,New York Knicks,11.9%,NBA
2017-18,Minnesota Timberwolves,11.7%,NBA
