TEAM,GP,W,L,MIN,%FGA_2PT,%FGA_3PT,%PTS_2PT,%PTS_2PT_MR,%PTS_3PT,%PTS_FBPS,%PTS_FT,%PTS_OFFTO,%PTS_PITP,2FGM_%AST,2FGM_%UAST,3FGM_%AST,3FGM_%UAST,FGM_%AST,FGM_%UAST,season,type
Philadelphia 76ers,82,19,63,48.4,74.2,25.8,62.1,12.3,21.2,17.5,16.7,18.7,49.8,50.7,49.3,88,12,57.6,42.4,2013-2014,all
Milwaukee Bucks,82,15,67,48.5,76.9,23.1,61.4,18.3,21,13.3,17.6,16.9,43.1,54.7,45.3,81.2,18.8,59.6,40.4,2013-2014,all
Cleveland Cavaliers,82,66,16,48.2,74.1,25.9,57.5,22,23.9,11.4,18.5,17.2,35.6,48.4,51.6,79,21,55,45,2008-2009,all
Los Angeles Lakers,82,65,17,48.2,78.3,21.7,63,19,18.7,11.5,18.3,17.6,43.9,52.2,47.8,85.4,14.6,57.7,42.3,2008-2009,all
Boston Celtics,82,62,20,48.5,78.6,21.4,61.3,19.9,19.5,11.6,19.2,17.1,41.4,54.1,45.9,91.1,8.9,60.6,39.4,2008-2009,all
Orlando Magic,82,59,23,48.1,66.5,33.5,51,15.5,29.6,11.4,19.4,14.2,35.5,41.7,58.3,87.1,12.9,54.4,45.6,2008-2009,all
Denver Nuggets,82,54,28,48.1,77.3,22.7,58.7,16.6,19.2,16.1,22.1,17.3,42.1,55.5,44.5,77.7,22.3,59.5,40.5,2008-2009,all
Portland Trail Blazers,82,54,28,48.4,76.1,23.9,59.4,20.5,21.9,9.2,18.7,15.8,38.9,46.7,53.3,90.1,9.9,55.2,44.8,2008-2009,all
San Antonio Spurs,82,54,28,48.5,75.2,24.8,60.7,24.5,23.6,9.7,15.7,13.8,36.2,48.9,51.1,88.5,11.5,57.1,42.9,2008-2009,all
Houston Rockets,82,53,29,48.3,74.6,25.4,57.9,17.2,23.1,8.9,19,13.8,40.7,49.2,50.8,82.4,17.6,56.2,43.8,2008-2009,all
Dallas Mavericks,82,50,32,48.3,75.9,24.1,61.3,26.7,20.5,14.9,18.2,15.1,34.6,50.6,49.4,85.1,14.9,56.9,43.1,2008-2009,all
New Orleans Hornets,82,49,33,48.2,76,24,59.9,20.4,21.2,10.9,18.8,15.7,39.6,47.1,52.9,89.9,10.1,55.3,44.7,2008-2009,all
Utah Jazz,82,48,34,48.5,83.1,16.9,64.8,21.3,13.8,12.4,21.4,18.5,43.5,60.9,39.1,89.3,10.7,64.4,35.6,2008-2009,all
Atlanta Hawks,82,47,35,48.1,74.7,25.3,58.6,18.1,22.3,15.9,19.1,15.8,40.5,48.3,51.7,86.8,13.2,56.1,43.9,2008-2009,all
Phoenix Suns,82,46,36,48.2,78.4,21.6,62.8,15.4,18.5,16.1,18.7,15.2,47.5,52,48,79.6,20.4,56.5,43.5,2008-2009,all
Miami Heat,82,43,39,48.7,75.5,24.5,60.8,23.1,21.7,9.8,17.5,17.6,37.7,48.5,51.5,82.6,17.4,55.1,44.9,2008-2009,all
Chicago Bulls,82,41,41,48.6,81.1,18.9,62.9,25.8,17.7,14.7,19.5,16.7,37,50.5,49.5,81.7,18.3,55.4,44.6,2008-2009,all
Philadelphia 76ers,82,41,41,48.2,83.6,16.4,66.5,20.9,12.8,18,20.7,18.6,45.6,51.6,48.4,80.9,19.1,55,45,2008-2009,all
Detroit Pistons,82,39,43,48.5,83.5,16.5,67.4,30.8,14.6,10.5,18,14.2,36.6,51,49,95.5,4.5,56.7,43.3,2008-2009,all
Indiana Pacers,82,36,46,48.4,75.6,24.4,59.6,20.1,22.7,12.7,17.7,14.4,39.5,45.4,54.6,93.3,6.7,55.1,44.9,2008-2009,all
Charlotte Bobcats,82,35,47,48.6,78.7,21.3,61.9,19,19.1,10.8,19,18.4,42.9,53.9,46.1,93.9,6.1,60.7,39.3,2008-2009,all
Milwaukee Bucks,82,34,48,48.2,79.2,20.8,61.4,23.2,18.8,11.7,19.8,18.7,38.1,53.9,46.1,89.2,10.8,59.9,40.1,2008-2009,all
New Jersey Nets,82,34,48,48.4,73.5,26.5,56.5,18.6,24.3,11.3,19.2,15.5,37.9,47.8,52.2,84.2,15.8,55.9,44.1,2008-2009,all
Toronto Raptors,82,33,49,48.3,80.7,19.3,63.4,28.6,17.7,9.5,18.9,15.2,34.8,54.3,45.7,91,9,60.1,39.9,2008-2009,all
New York Knicks,82,32,50,48.3,67.8,32.2,54.1,14.3,28.6,10.2,17.3,16.2,39.9,44.7,55.3,84.3,15.7,55.1,44.9,2008-2009,all
Golden State Warriors,82,29,53,48.5,79.1,20.9,60.2,20.5,18.5,16.9,21.3,15.2,39.7,46.8,53.2,82.7,17.3,53,47,2008-2009,all
Memphis Grizzlies,82,24,58,48.3,82.5,17.5,64.1,20.3,15.5,12.7,20.4,17.6,43.8,43.3,56.7,89.2,10.8,49.7,50.3,2008-2009,all
Minnesota Timberwolves,82,24,58,48.3,77.3,22.7,60.9,19.1,20.3,10.3,18.8,14.5,41.8,49.1,50.9,87.5,12.5,56.1,43.9,2008-2009,all
Oklahoma City Thunder,82,23,59,48.3,85.9,14.1,67.2,23.6,12.4,15,20.4,15.8,43.6,51.5,48.5,87.8,12.2,55.5,44.5,2008-2009,all
Los Angeles Clippers,82,19,63,48.5,77.4,22.6,62.1,19,20.6,11.2,17.4,14.8,43,52.5,47.5,84.7,15.3,58.3,41.7,2008-2009,all
Washington Wizards,82,19,63,48.1,82,18,66,22.9,15,11.1,19,15.9,43.1,50.6,49.4,82.5,17.5,54.8,45.2,2008-2009,all
Sacramento Kings,82,17,65,48.5,76.2,23.8,58.3,20.9,21.3,12,20.4,15.7,37.4,48.1,51.9,79,21,54.1,45.9,2008-2009,all
