player,height_1,height_2,weight
Tim Hardaway Jr.,6,5,205
James Harden,6,5,220
Maurice Harkless,6,7,220
Jared Harper,5,10,175
Montrezl Harrell,6,7,240
Gary Harris,6,4,210
Jalen Harris,6,5,195
Joe Harris,6,6,220
Tobias Harris,6,8,226
Shaquille Harrison,6,7,190
Josh Hart,6,5,215
Udonis Haslem,6,8,235
Jaxson Hayes,6,11,220
Killian Hayes,6,5,195
Gordon Hayward,6,7,225
Dewan Hernandez,6,10,235
Juancho Hernangomez,6,9,214
Willy Hernangomez,6,11,250
Tyler Herro,6,5,195
Kevin Hervey,6,9,230
Mario Hezonja,6,8,220
Buddy Hield,6,4,220
George Hill,6,3,188
Solomon Hill,6,6,226
Jaylen Hoard,6,8,216
Aaron Holiday,6,0,185
Jrue Holiday,6,3,205
Justin Holiday,6,6,180
Rondae Hollis-Jefferson,6,6,217
Richaun Holmes,6,10,235
Rodney Hood,6,8,208
Al Horford,6,9,240
Talen Horton-Tucker,6,4,234
Danuel House Jr.,6,6,220
Dwight Howard,6,10,265
William Howard,6,8,207
Kevin Huerter,6,7,190
Elijah Hughes,6,6,215
De'Andre Hunter,6,7,225
Chandler Hutchison,6,7,210
Serge Ibaka,7,0,235
Andre Iguodala,6,6,215
Joe Ingles,6,7,220
Brandon Ingram,6,7,190
Kyrie Irving,6,2,195
Jonathan Isaac,6,11,230
Wes Iwundu,6,6,195
Frank Jackson,6,3,205
Josh Jackson,6,8,207
Justin Jackson,6,7,220
Reggie Jackson,6,3,208
Jaren Jackson Jr.,6,11,242
Justin James,6,7,190
LeBron James,6,9,250
DaQuan Jeffries,6,5,230
Ty Jerome,6,5,195
Justinian Jessup,6,7,202
Isaiah Joe,6,5,165
Alize Johnson,6,7,212
BJ Johnson,6,7,200
Cameron Johnson,6,8,210
James Johnson,6,7,240
Keldon Johnson,6,5,220
Stanley Johnson,6,6,242
Tyler Johnson,6,3,186
Nikola Jokic,7,0,284
Tre Jones,6,2,185
Tyus Jones,6,0,196
Derrick Jones Jr.,6,6,210
DeAndre Jordan,6,11,265
Cory Joseph,6,3,200
Mfiondu Kabengele,6,9,250
Frank Kaminsky,7,0,240
Enes Kanter,6,10,250
Luke Kennard,6,5,206
Michael Kidd-Gilchrist,6,6,232
